NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
CAPSTAR FINANCIAL HOLDINGS INC,Common Stock,14070T102,293,"16,980",SH,,SOLE,,"13,118",0,"3,862"
CAPSTEAD MORTGAGE CORP REIT,REIT,14067E506,"1,066","171,071",SH,,SOLE,,"152,197",0,"18,874"
CARA THERAPEUTICS INC,Common Stock,140755109,"1,288","59,325",SH,,SOLE,,"55,053",0,"4,272"
CARDINAL HEALTH INC,Common Stock,14149Y108,"80,514","1,325,341",SH,,SOLE,,"866,499",0,"458,842"
CARDIOVASCULAR SYSTEMS INC,Common Stock,141619106,"4,120","107,454",SH,,SOLE,,"67,041",0,"40,413"
CARDLYTICS,Common Stock,14161W105,"5,208","47,475",SH,,SOLE,,"19,375",0,"28,100"
CARDTRONICS PLC,Common Stock,G1991C105,"3,284","84,639",SH,,SOLE,,"56,307",0,"28,332"
CAREDX INC,Common Stock,14167L103,"4,332","63,620",SH,,SOLE,,"23,172",0,"40,448"
CARETRUST REIT INC,REIT,14174T107,"6,373","273,705",SH,,SOLE,,"171,030",0,"102,675"
CARGURUS INC,Common Stock,141788109,"1,337","56,112",SH,,SOLE,,"54,260",0,"1,852"
CARL ZEISS MEDIT-UNSPON ADR,ADR,14218T105,"3,445","23,073",SH,,SOLE,,"20,442",0,"2,631"
CARLISLE COS INC,Common Stock,142339100,"31,297","190,162",SH,,SOLE,,"166,221",0,"23,941"
CARLSBERG AS SPONSORED ADR,ADR,142795202,"22,447","727,142",SH,,SOLE,,"648,598",0,"78,544"
CARMAX INC,Common Stock,143130102,"67,827","511,282",SH,,SOLE,,"442,157",0,"69,125"
CARNIVAL CORP,Common Stock,143658300,"97,817","3,685,637",SH,,SOLE,,"2,560,683",0,"1,124,954"
CARNIVAL PLC ADR,ADR,14365C103,"6,801","303,498",SH,,SOLE,,"291,089",0,"12,409"
CarParts.com Inc,Common Stock,14427M107,552,"38,674",SH,,SOLE,,"12,235",0,"26,439"
CARPENTER TECHNOLOGY CORP,Common Stock,144285103,"6,497","157,888",SH,,SOLE,,"148,022",0,"9,866"
CARREFOUR SA - SPON ADR,ADR,144430204,"20,552","5,630,657",SH,,SOLE,,"4,373,544",0,"1,257,113"
CARRIAGE SERVICES INC,Common Stock,143905107,"1,219","34,654",SH,,SOLE,,"7,366",0,"27,288"
CARRIER GLOBAL CORP,Common Stock,14448C104,"125,300","2,967,780",SH,,SOLE,,"1,959,361",0,"1,008,418"
CARROLS RESTAURANT GROUP INC,Common Stock,14574X104,259,"43,202",SH,,SOLE,,"42,338",0,864
CARS.COM INC,Common Stock,1.46E+109,"2,650","204,490",SH,,SOLE,,"159,088",0,"45,402"
CARTER BANK & TRUST,Common Stock,146103106,"1,193","85,425",SH,,SOLE,,"79,555",0,"5,870"
CARTER'S INC,Common Stock,146229109,"8,336","93,742",SH,,SOLE,,"50,992",0,"42,750"
CARVANA CO,Common Stock,146869102,"24,843","94,676",SH,,SOLE,,"57,542",0,"37,134"
CASA SYSTEMS INC,Common Stock,14713L102,189,"19,799",SH,,SOLE,,"18,728",0,"1,071"
CASELLA WASTE SYSTEMS INC,Common Stock,147448104,"3,717","58,473",SH,,SOLE,,"51,989",0,"6,484"
CASEY'S GENERAL STORES INC,Common Stock,147528103,"25,835","119,500",SH,,SOLE,,"82,039",0,"37,461"
CASI PHARMACEUTICALS INC,Common Stock,14757U109,62,"25,667",SH,,SOLE,,"25,605",0,62
CASIO COMPUTER LTD ADR,ADR,147618201,692,"3,650",SH,,SOLE,,"3,177",0,473
CASPER SLEEP INC,Common Stock,147626105,665,"91,910",SH,,SOLE,,"91,805",0,105
CASS INFORMATION SYSTEMS INC,Common Stock,14808P109,"2,135","46,151",SH,,SOLE,,"35,879",0,"10,272"
CASSAVA SCIENCES INC,Common Stock,14817C107,"1,252","27,848",SH,,SOLE,,"5,971",0,"21,877"
CASTLE BIOSCIENCES INC,Common Stock,14843C105,"2,306","33,680",SH,,SOLE,,"13,505",0,"20,175"
CATABASIS PHARMACEUTICALS IN,Common Stock,14875P206,495,"171,343",SH,,SOLE,,"168,940",0,"2,403"
CATALENT INC COM,Common Stock,148806102,"48,851","463,876",SH,,SOLE,,"281,788",0,"182,088"
CATALYST BIOSCIENCES INC,Common Stock,14888D208,220,"43,734",SH,,SOLE,,"42,604",0,"1,130"
CATALYST PHARM PARTNER COM,Common Stock,14888U101,955,"207,255",SH,,SOLE,,"69,007",0,"138,248"
CATCHMARK TIMBER TR IN CL A,REIT,14912Y202,"3,919","384,988",SH,,SOLE,,"269,437",0,"115,552"
CATERPILLAR INC,Common Stock,149123101,"405,286","1,747,903",SH,,SOLE,,"1,472,811",0,"275,093"
CATHAY GENERAL BANCORP,Common Stock,149150104,"13,129","321,945",SH,,SOLE,,"281,695",0,"40,250"
CATO CORP/THE,Common Stock,149205106,577,"48,102",SH,,SOLE,,"45,685",0,"2,417"
CAVCO INDUSTRIES INC,Common Stock,149568107,"3,070","13,606",SH,,SOLE,,"12,184",0,"1,422"
CBIZ INC,Common Stock,124805102,"5,236","160,320",SH,,SOLE,,"149,512",0,"10,808"
CBOE GLOBAL MARKETS INC,Common Stock,12503M108,"25,869","262,129",SH,,SOLE,,"139,602",0,"122,527"
CBRE Clarion Global Real Estat,Closed-End Fund,12504G100,"55,979","7,167,632",SH,,SOLE,,"4,913,770",0,"2,253,862"
CBRE GROUP INC - A,Common Stock,12504L109,"89,267","1,128,397",SH,,SOLE,,"951,315",0,"177,082"
CBTX INC,Common Stock,12481V104,"1,291","42,020",SH,,SOLE,,"41,553",0,467
CD PROJEKT SA - UNSP ADR,ADR,125105106,"1,291","104,253",SH,,SOLE,,"97,883",0,"6,370"
CDK GLOBAL INC,Common Stock,1.25E+105,"12,610","233,257",SH,,SOLE,,"208,863",0,"24,395"
CDW CORP/DE,Common Stock,12514G108,"57,282","345,593",SH,,SOLE,,"307,565",0,"38,028"
CECO ENVIRONMENTAL CORP,Common Stock,125141101,235,"29,618",SH,,SOLE,,"29,571",0,47
CELANESE CORP,Common Stock,150870103,"75,765","505,739",SH,,SOLE,,"361,016",0,"144,723"
CELESIO AG - UNSPONSORED ADR,ADR,58155Y106,258,"42,077",SH,,SOLE,,"41,320",0,757
CELESTICA INC,Common Stock,15101Q108,572,"68,333",SH,,SOLE,,"68,203",0,130
CELLDEX THERAPEUTICS INC,Common Stock,15117B202,232,"11,240",SH,,SOLE,,"11,240",0,0
CELLNEX TELECOM SAU-UNSP ADR,ADR,15117X105,"3,464","120,449",SH,,SOLE,,"79,883",0,"40,566"
CEL-SCI CORP,Common Stock,150837607,326,"21,436",SH,,SOLE,,"21,303",0,133
CELSIUS HOLDINGS INC,Common Stock,15118V207,"6,079","126,513",SH,,SOLE,,"57,125",0,"69,388"
CEMEX S A SPON ADR 5 ORD,ADR,151290889,"25,368","3,639,571",SH,,SOLE,,"3,575,466",0,"64,105"
CENOVUS ENERGY INC,Common Stock,15135U109,"7,337","975,723",SH,,SOLE,,"957,090",0,"18,634"
CENTENE CORP,Common Stock,15135B101,"106,638","1,668,563",SH,,SOLE,,"1,442,768",0,"225,795"
CENTENNIAL RESOURCE DEVELO-A,Common Stock,15136A102,"9,166","2,182,422",SH,,SOLE,,"2,182,422",0,0
CENTERPOINT ENERGY INC,Common Stock,15189T107,"48,339","2,134,186",SH,,SOLE,,"1,907,740",0,"226,446"
CENTERSPACE,REIT,15202L107,"2,490","36,611",SH,,SOLE,,"18,898",0,"17,713"
CENTRAIS ELEC BRAS - SP ADR (ELETROBRAS),ADR,15234Q207,"1,081","177,223",SH,,SOLE,,"162,764",0,"14,459"
CENTRAIS ELETRICAS BR-SP ADR,ADR,15234Q108,446,"73,981",SH,,SOLE,,"68,720",0,"5,261"
CENTRAL GARDEN AND PET CO,Common Stock,153527106,"1,461","25,178",SH,,SOLE,,"16,523",0,"8,655"
CENTRAL GARDEN AND PET CO,Common Stock,153527205,"7,614","146,734",SH,,SOLE,,"87,761",0,"58,973"
CENTRAL JAPAN RAI - UNSPON ADR,ADR,153766100,"23,094","1,531,462",SH,,SOLE,,"1,379,888",0,"151,574"
CENTRAL PACIFIC FINANCIAL CORP,Common Stock,154760409,"4,986","186,877",SH,,SOLE,,"129,322",0,"57,554"
CENTRAL PUERTO - SPONSORED ADR,ADR,155038201,35,"15,382",SH,,SOLE,,"15,242",0,140
CENTRAL SECS CORP COM,Closed-End Fund,155123102,"5,016","132,307",SH,,SOLE,,"86,766",0,"45,541"
CENTRAL VY CMNTY BANC COM,Common Stock,155685100,580,"31,490",SH,,SOLE,,"28,806",0,"2,684"
CENTRICA PLC SPON ADR NEW,ADR,15639K300,"2,662","908,407",SH,,SOLE,,"857,848",0,"50,559"
CENTURY ALUMINUM CO,Common Stock,156431108,"9,019","510,717",SH,,SOLE,,"155,679",0,"355,038"
CENTURY BANCORP INC CL A NON VTG,Common Stock,156432106,384,"4,118",SH,,SOLE,,"3,984",0,134
CENTURY CASINOS INC,Common Stock,156492100,283,"27,520",SH,,SOLE,,"27,520",0,0
CENTURY COMMUNITIES INC,Common Stock,156504300,"7,552","125,197",SH,,SOLE,,"49,889",0,"75,308"
CERENCE INC,Common Stock,156727109,"5,020","56,043",SH,,SOLE,,"44,785",0,"11,258"
CERIDIAN HCM HOLDING INC,Common Stock,15677J108,"11,332","134,469",SH,,SOLE,,"71,776",0,"62,693"
CERNER CORP,Common Stock,156782104,"80,658","1,122,122",SH,,SOLE,,"982,035",0,"140,087"
Certara Inc,Common Stock,15687V109,286,"10,482",SH,,SOLE,,975,0,"9,507"
CERUS CORP COM,Common Stock,157085101,547,"91,032",SH,,SOLE,,"88,062",0,"2,970"
CEVA INC COM,Common Stock,157210105,"3,568","63,543",SH,,SOLE,,"60,739",0,"2,804"
CF INDUSTRIES HOLDINGS INC,Common Stock,125269100,"32,406","714,099",SH,,SOLE,,"633,209",0,"80,890"
CGI GROUP INC,Common Stock,12532H104,"21,810","262,077",SH,,SOLE,,"256,365",0,"5,712"
CH ROBINSON WORLDWIDE INC,Common Stock,12541W209,"79,772","835,924",SH,,SOLE,,"572,144",0,"263,781"
CHAMPIONX CORP,Common Stock,15872M104,"5,632","259,183",SH,,SOLE,,"214,757",0,"44,426"
CHANGE HEALTHCARE INC,Common Stock,15912K100,"14,460","654,301",SH,,SOLE,,"245,424",0,"408,877"
CHANNELADVISOR CORP COM,Common Stock,159179100,"3,765","159,872",SH,,SOLE,,"17,813",0,"142,059"
CHARLES RIVER LABORATORIES INT,Common Stock,159864107,"33,913","117,010",SH,,SOLE,,"82,508",0,"34,502"
CHARLES SCHWAB CORP/THE,Common Stock,808513105,"289,284","4,438,232",SH,,SOLE,,"3,519,375",0,"918,857"
CHART INDUSTRIES INC,Common Stock,16115Q308,"32,142","225,794",SH,,SOLE,,"79,170",0,"146,624"
CHARTER COMMUNICATIONS INC,Common Stock,16119P108,"321,559","521,148",SH,,SOLE,,"447,078",0,"74,070"
CHASE CORP,Common Stock,16150R104,369,"3,170",SH,,SOLE,,"2,039",0,"1,131"
CHATHAM LODGING TR COM REIT,REIT,16208T102,"4,952","376,293",SH,,SOLE,,"319,220",0,"57,073"
CHECK POINT SOFTWARE TECHNOLOG,Common Stock,M22465104,"30,757","274,694",SH,,SOLE,,"202,574",0,"72,119"
CHECKPOINT THERAPEUTICS INC,Common Stock,162828107,69,"21,894",SH,,SOLE,,"17,817",0,"4,077"
CHEESECAKE FACTORY INC/THE,Common Stock,163072101,"13,808","235,989",SH,,SOLE,,"225,620",0,"10,369"
CHEFS' WAREHOUSE INC/THE,Common Stock,163086101,"2,410","79,114",SH,,SOLE,,"42,340",0,"36,774"
CHEGG INC,Common Stock,163092109,"7,417","86,585",SH,,SOLE,,"66,378",0,"20,207"
Chembio Diagnostics Inc,Common Stock,163572209,80,"22,861",SH,,SOLE,,"20,992",0,"1,869"
CHEMED CORP,Common Stock,16359R103,"28,804","62,641",SH,,SOLE,,"43,249",0,"19,392"
CHEMOCENTRYX INC COM,Common Stock,16383L106,"3,369","65,743",SH,,SOLE,,"62,352",0,"3,391"
CHEMOURS CO/THE,Common Stock,163851108,"14,379","515,181",SH,,SOLE,,"402,316",0,"112,865"
CHENIERE ENERGY INC COM NEW,Common Stock,16411R208,"38,380","532,976",SH,,SOLE,,"508,929",0,"24,047"
CHERRY HILL MORTGAGE INVESTM,REIT,164651101,"1,660","177,697",SH,,SOLE,,"160,129",0,"17,568"
CHESAPEAKE UTILITIES CORP,Common Stock,165303108,"11,790","101,571",SH,,SOLE,,"88,843",0,"12,728"
CHEVRON CORP,Common Stock,166764100,"596,287","5,690,302",SH,,SOLE,,"4,350,371",0,"1,339,932"
Chewy Inc,Common Stock,16679L109,"1,933","22,815",SH,,SOLE,,"21,059",0,"1,756"
CHIASMA INC COM,Common Stock,16706W102,39,"12,375",SH,,SOLE,,"7,268",0,"5,107"
CHICO'S FAS INC,Common Stock,168615102,174,"52,503",SH,,SOLE,,"47,733",0,"4,770"
CHILDRENS PLACE INC/THE,Common Stock,168905107,"5,574","79,967",SH,,SOLE,,"52,113",0,"27,854"
CHIMERA INVESTMENT CORP REIT,REIT,16934Q208,"6,249","492,019",SH,,SOLE,,"447,975",0,"44,044"
CHIMERIX INC COM,Common Stock,16934W106,172,"17,879",SH,,SOLE,,"17,579",0,300
CHINA BIOLOGIC PRODS HOLDINGS,Common Stock,G21515104,"1,759","14,851",SH,,SOLE,,"14,851",0,0
CHINA CONTRUCT UNSPON ADR,ADR,168919108,"14,834","879,304",SH,,SOLE,,"836,583",0,"42,721"
CHINA EASTN AIRLS LTD SPON ADR CL H,ADR,16937R104,579,"24,760",SH,,SOLE,,"24,002",0,758
CHINA GAS HOLDINGS LTD-ADR,ADR,168935104,"3,182","30,690",SH,,SOLE,,"22,523",0,"8,167"
CHINA LIFE INS CO LTD SPON ADR REP H,ADR,16939P106,"6,426","617,308",SH,,SOLE,,"565,903",0,"51,404"
CHINA MERCHANTS BK CO ADR,ADR,16950T102,"8,347","216,821",SH,,SOLE,,"201,946",0,"14,875"
CHINA PETE & CHEM CORP SPON ADR H SHS,ADR,16941R108,"5,346","101,381",SH,,SOLE,,"94,823",0,"6,558"
CHINA RES LD LTD ADR,ADR,16942S105,230,"5,037",SH,,SOLE,,"5,037",0,0
CHINA SHENHUA ENERGY C ADR,ADR,16942A302,"4,537","556,009",SH,,SOLE,,"531,350",0,"24,659"
CHINA SOUTHN AIRLS LTD SPON ADR CL H,ADR,169409109,727,"19,812",SH,,SOLE,,"18,328",0,"1,484"
CHIPMOS TECHNOLOGIES INC ADR,ADR,16965P202,531,"16,799",SH,,SOLE,,"16,112",0,687
CHIPOTLE MEXICAN GRILL INC,Common Stock,1.70E+08,"103,136","72,589",SH,,SOLE,,"63,680",0,"8,908"
CHOICE HOTELS INTERNATIONAL IN,Common Stock,169905106,"13,871","129,285",SH,,SOLE,,"111,786",0,"17,499"
CHOW TAI FOOK JEWEL-UNSP ADR,ADR,17044P106,290,"19,040",SH,,SOLE,,"19,040",0,0
CHR HANSEN HLDG A/S SPONSORED ADR,ADR,12545M207,"12,761","557,228",SH,,SOLE,,"505,040",0,"52,188"
CHRISTIAN DIOR SE-UNSPON ADR,ADR,170715106,842,"6,035",SH,,SOLE,,"5,934",0,101
CHROMADEX CORP COM NEW,Common Stock,171077407,504,"53,967",SH,,SOLE,,"10,792",0,"43,175"
CHUBB LTD,Common Stock,H1467J104,"191,305","1,211,022",SH,,SOLE,,"974,444",0,"236,578"
CHUGAI PHARMACEUTIC-UNSP ADR,ADR,171269103,"18,655","919,233",SH,,SOLE,,"834,402",0,"84,831"
CHUNGHWA TELECOM CO LTD-ADR,ADR,17133Q502,"22,438","573,272",SH,,SOLE,,"539,468",0,"33,804"
CHURCH & DWIGHT CO INC,Common Stock,171340102,"100,689","1,152,709",SH,,SOLE,,"864,205",0,"288,505"
CHURCHILL DOWNS INC,Common Stock,171484108,"10,559","46,431",SH,,SOLE,,"39,673",0,"6,758"
CHUYS HLDGS INC COM,Common Stock,171604101,"1,160","26,180",SH,,SOLE,,"23,645",0,"2,535"
CIA CERVECERIAS UNIDAS - ADR,ADR,204429104,"4,944","279,780",SH,,SOLE,,"264,480",0,"15,300"
CIA DE SANEAMENTO BASICO DO ES,ADR,20441A102,"4,936","673,330",SH,,SOLE,,"634,105",0,"39,225"
CIA ENERGETICA DE MINAS GERAIS,ADR,204409601,"3,100","1,365,702",SH,,SOLE,,"1,323,363",0,"42,339"
CIA SIDERURGICA NACIONAL SA,ADR,20440W105,"1,374","205,110",SH,,SOLE,,"167,478",0,"37,632"
Cie Financiere Richemont SA,Common Stock,H25662182,"1,432","14,831",SH,,SOLE,,"14,316",0,515
CIENA CORP,Common Stock,171779309,"17,941","327,870",SH,,SOLE,,"221,229",0,"106,641"
CIGNA CORP,Common Stock,125523100,"267,809","1,107,837",SH,,SOLE,,"948,848",0,"158,989"
CIMAREX ENERGY CO,Common Stock,171798101,"45,589","767,624",SH,,SOLE,,"526,504",0,"241,120"
CIMPRESS PLC,Common Stock,G2143T103,"2,013","20,108",SH,,SOLE,,"6,346",0,"13,762"
CINCINNATI BELL INC,Common Stock,171871502,"3,168","206,352",SH,,SOLE,,"193,561",0,"12,791"
CINCINNATI FINANCIAL CORP,Common Stock,172062101,"58,269","565,220",SH,,SOLE,,"513,216",0,"52,004"
CINEMARK HOLDINGS INC,Common Stock,17243V102,"12,127","594,162",SH,,SOLE,,"207,469",0,"386,693"
CINTAS CORP,Common Stock,172908105,"106,904","313,218",SH,,SOLE,,"243,476",0,"69,741"
CIRCOR INTERNATIONAL INC,Common Stock,17273K109,"2,578","74,047",SH,,SOLE,,"37,677",0,"36,370"
CIRRUS LOGIC INC,Common Stock,172755100,"9,161","108,038",SH,,SOLE,,"82,195",0,"25,843"
CISCO SYSTEMS INC,Common Stock,17275R102,"935,161","18,084,715",SH,,SOLE,,"13,063,186",0,"5,021,529"
CIT GROUP INC,Common Stock,125581801,"40,365","783,633",SH,,SOLE,,"505,627",0,"278,006"
CITI TRENDS INC,Common Stock,17306X102,648,"7,736",SH,,SOLE,,"5,065",0,"2,671"
CITIGROUP INC,Common Stock,172967424,"496,779","6,828,575",SH,,SOLE,,"4,306,341",0,"2,522,233"
CITIZENS & NORTHERN CORP,Common Stock,172922106,277,"11,668",SH,,SOLE,,"4,240",0,"7,428"
CITIZENS FINL GRP INC COM,Common Stock,174610105,"144,780","3,279,277",SH,,SOLE,,"2,178,102",0,"1,101,175"
CITIZENS INC/TX,Common Stock,174740100,210,"36,311",SH,,SOLE,,"35,418",0,893
CITRIX SYSTEMS INC,Common Stock,177376100,"112,946","804,689",SH,,SOLE,,"445,903",0,"358,786"
CITY DEVS LTD SPONSORED ADR,ADR,177797305,"4,721","800,091",SH,,SOLE,,"704,883",0,"95,208"
CITY HOLDING CO,Common Stock,177835105,"3,379","41,313",SH,,SOLE,,"38,258",0,"3,055"
CITY OFFICE REIT INC,REIT,178587101,500,"47,073",SH,,SOLE,,"23,253",0,"23,820"
CIVISTA BANCSHARES INC,Common Stock,178867107,228,"9,933",SH,,SOLE,,"9,756",0,177
CK HUTCHINSON HOLDIN-UNSP ADR,ADR,12562Y100,"10,781","1,352,676",SH,,SOLE,,"1,283,890",0,"68,786"
CLARUS CORP,Common Stock,18270P109,"1,276","74,820",SH,,SOLE,,"4,483",0,"70,337"
CLEAN ENERGY FUELS CORP,Common Stock,184499101,"5,413","393,989",SH,,SOLE,,"345,255",0,"48,734"
CLEAN HARBORS INC,Common Stock,184496107,"12,623","150,161",SH,,SOLE,,"72,005",0,"78,156"
CLEAR CHANNEL OUTDOOR HOLDINGS,Common Stock,18453H106,960,"533,543",SH,,SOLE,,"533,543",0,0
CLEARFIELD INC COM,Common Stock,18482P103,232,"7,690",SH,,SOLE,,"7,356",0,334
CLEARWATER PAPER CORP,Common Stock,18538R103,"1,317","35,012",SH,,SOLE,,"32,858",0,"2,154"
CLEARWAY ENERGY INC-A,Common Stock,18539C105,"2,139","80,669",SH,,SOLE,,"35,942",0,"44,727"
CLEARWAY ENERGY INC-C,Common Stock,18539C204,"4,742","168,530",SH,,SOLE,,"158,915",0,"9,615"
CLICKS GROUP LTD - SP ADR,ADR,18682W205,603,"18,496",SH,,SOLE,,"17,877",0,619
CLIFFS NATURAL RESOURCES INC,Common Stock,185899101,"11,885","590,981",SH,,SOLE,,"529,566",0,"61,415"
CLIPPER REALTY INC,REIT,18885T306,302,"38,162",SH,,SOLE,,"27,635",0,"10,527"
CLOROX CO/THE,Common Stock,189054109,"119,386","618,966",SH,,SOLE,,"518,910",0,"100,056"
CLOSE BROTHERS GRP-UNSP ADR,ADR,189062102,532,"11,593",SH,,SOLE,,149,0,"11,444"
CLOUDERA INC,Common Stock,18914U100,"4,934","405,385",SH,,SOLE,,"371,011",0,"34,374"
CLOUDFLARE INC - CLASS A,Common Stock,18915M107,"48,679","692,838",SH,,SOLE,,"78,637",0,"614,201"
CLOUGH GBL OPPS FUND SH BEN INT,Closed-End Fund,1.89E+110,"5,970","487,360",SH,,SOLE,,"434,916",0,"52,444"
CLOVIS ONCOLOGY INC COM,Common Stock,189464100,535,"76,178",SH,,SOLE,,"75,741",0,437
CLP HOLDINGS LTD SPONSORED ADR,ADR,18946Q101,"20,332","2,064,122",SH,,SOLE,,"1,932,796",0,"131,326"
CMC Materials Inc,Common Stock,12571T100,"9,544","53,984",SH,,SOLE,,"37,923",0,"16,061"
CME GROUP INC,Common Stock,12572Q105,"235,404","1,152,641",SH,,SOLE,,"851,722",0,"300,918"
CMMNTY BANKERS TR CORP COM,Common Stock,203612106,124,"14,010",SH,,SOLE,,"13,744",0,266
CMS ENERGY CORP,Common Stock,125896100,"91,081","1,487,766",SH,,SOLE,,"1,342,983",0,"144,783"
CNA FINANCIAL CORP,Common Stock,126117100,"7,761","173,906",SH,,SOLE,,"165,986",0,"7,920"
CNH INDUSTRIAL NV,Common Stock,N20944109,"2,202","140,817",SH,,SOLE,,"133,654",0,"7,163"
CNO FINANCIAL GROUP INC,Common Stock,1.26E+107,"26,379","1,085,992",SH,,SOLE,,"342,706",0,"743,286"
CNX RESOURCES CORP,Common Stock,12653C108,"7,023","477,786",SH,,SOLE,,"454,614",0,"23,172"
CO BRASILEIRA DE DISTR ADR,ADR,20440T300,190,"32,638",SH,,SOLE,,"30,983",0,"1,655"
COCA COLA AMATIL LTD SPONSORED ADR,ADR,191085208,"36,570","3,547,036",SH,,SOLE,,"3,210,765",0,"336,271"
COCA COLA HBC AG-UNSPR ADR,ADR,191223205,"16,939","531,346",SH,,SOLE,,"488,942",0,"42,405"
COCA-COLA CO/THE,Common Stock,191216100,"673,027","12,768,484",SH,,SOLE,,"9,872,192",0,"2,896,292"
COCA-COLA CONSOLIDATED INC,Common Stock,191098102,"6,321","21,888",SH,,SOLE,,"18,092",0,"3,796"
COCA-COLA EUROPEAN PARTNERS,Common Stock,G25839104,"35,770","685,774",SH,,SOLE,,"470,385",0,"215,389"
COCA-COLA FEMSA S A DE SPON ADR REP L,ADR,191241108,"5,052","109,340",SH,,SOLE,,"105,248",0,"4,092"
COCHLEAR LTD ADR,ADR,191459205,"8,788","109,492",SH,,SOLE,,"96,082",0,"13,410"
CODEXIS INC COM,Common Stock,192005106,709,"30,986",SH,,SOLE,,"29,908",0,"1,078"
Co-Diagnostics Inc,Common Stock,189763105,"1,202","125,972",SH,,SOLE,,"15,144",0,"110,828"
COEUR MINING INC,Common Stock,192108504,"3,522","390,059",SH,,SOLE,,"373,450",0,"16,609"
COGENT COMMUNICATIONS HOLDINGS,Common Stock,19239V302,"16,664","242,349",SH,,SOLE,,"155,008",0,"87,341"
COGNEX CORP,Common Stock,192422103,"33,479","403,411",SH,,SOLE,,"372,800",0,"30,610"
COGNIZANT TECHNOLOGY SOLUTIONS,Common Stock,192446102,"131,207","1,679,553",SH,,SOLE,,"1,402,656",0,"276,897"
COGNYTE SOFTWARE LTD,Common Stock,M25133105,"6,800","244,500",SH,,SOLE,,"54,851",0,"189,649"
COHEN & STEERS INC,Common Stock,19247A100,"5,115","78,299",SH,,SOLE,,"39,165",0,"39,134"
Cohen & Steers Limited Duratio,Closed-End Fund,19248C105,852,"32,629",SH,,SOLE,,"29,868",0,"2,761"
COHERENT INC,Common Stock,192479103,"7,572","29,942",SH,,SOLE,,"25,324",0,"4,618"
COHERUS BIOSCIENCES INC,Common Stock,19249H103,"1,247","85,357",SH,,SOLE,,"68,253",0,"17,104"
COHU INC,Common Stock,192576106,"4,643","110,970",SH,,SOLE,,"71,025",0,"39,945"
COLFAX CORP,Common Stock,194014106,"22,091","504,255",SH,,SOLE,,"187,676",0,"316,579"
COLGATE-PALMOLIVE CO,Common Stock,194162103,"240,237","3,047,537",SH,,SOLE,,"2,246,694",0,"800,843"
COLLEGIUM PHARMACEUTIC COM,Common Stock,19459J104,"3,128","131,978",SH,,SOLE,,"27,782",0,"104,196"
COLLIERS INTERNATIONAL GROUP INC,Common Stock,194693107,526,"5,358",SH,,SOLE,,"5,027",0,331
COLONY CAPITAL INC,REIT,19626G108,"8,979","1,385,611",SH,,SOLE,,"1,275,883",0,"109,728"
COLONY CREDIT REAL ESTATE INC,REIT,19625T101,"4,014","471,164",SH,,SOLE,,"435,548",0,"35,616"
COLOPLAST A/S ADR,ADR,19624Y200,"33,701","2,225,931",SH,,SOLE,,"2,007,591",0,"218,340"
COLRUYT SA - UNSPONSORED ADR,ADR,196850101,341,"22,636",SH,,SOLE,,"13,611",0,"9,025"
COLUMBIA BANKING SYSTEM INC,Common Stock,197236102,"17,481","405,687",SH,,SOLE,,"146,896",0,"258,791"
COLUMBIA FINANCIAL INC,Common Stock,197641103,"1,977","113,120",SH,,SOLE,,"52,740",0,"60,380"
COLUMBIA PPTY TR INC COM NEW,REIT,198287203,"6,888","402,824",SH,,SOLE,,"273,465",0,"129,359"
COLUMBIA SPORTSWEAR CO,Common Stock,198516106,"16,153","152,917",SH,,SOLE,,"134,399",0,"18,518"
COLUMBUS MCKINNON CORP/NY,Common Stock,199333105,"2,474","46,884",SH,,SOLE,,"34,685",0,"12,199"
COMCAST CORP,Common Stock,20030N101,"874,413","16,159,919",SH,,SOLE,,"13,536,432",0,"2,623,487"
COMERICA INC,Common Stock,200340107,"131,356","1,830,998",SH,,SOLE,,"1,250,946",0,"580,052"
COMFORT SYSTEMS USA INC,Common Stock,199908104,"5,345","71,483",SH,,SOLE,,"66,171",0,"5,312"
COMM SERV SELECT SECTOR SPDR,ETF,81369Y852,"2,455","33,479",SH,,SOLE,,"27,647",0,"5,832"
COMMERCE BANCSHARES INC/MO,Common Stock,200525103,"16,166","211,013",SH,,SOLE,,"172,932",0,"38,081"
COMMERCIAL INTL BK EGY SPONSORED ADR,ADR,201712304,"4,197","1,148,204",SH,,SOLE,,"1,043,758",0,"104,446"
COMMERCIAL METALS CO,Common Stock,201723103,"28,719","931,219",SH,,SOLE,,"271,466",0,"659,752"
COMMERCIAL VEHICLE GROUP INC,Common Stock,202608105,182,"18,886",SH,,SOLE,,"18,886",0,0
COMMERZBANK A G SPONSORED ADR,ADR,202597605,"12,187","1,997,910",SH,,SOLE,,"1,788,612",0,"209,298"
COMMONWEALTH BANK AUS-SP ADR,ADR,202712600,"87,142","1,323,343",SH,,SOLE,,"1,167,850",0,"155,493"
COMMSCOPE HOLDING CO INC,Common Stock,20337X109,"5,652","367,976",SH,,SOLE,,"215,364",0,"152,612"
COMMUNITY BANK SYSTEM INC,Common Stock,203607106,"9,565","124,675",SH,,SOLE,,"116,345",0,"8,330"
