NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
CHOW TAI FOOK JEWEL-UNSP ADR,ADR,17044P106,511,"22,223",SH,,SOLE,,"22,223",0,0
CHR HANSEN HLDG A/S SPONSORED ADR,ADR,12545M207,"14,518","640,557",SH,,SOLE,,"584,194",0,"56,363"
CHRISTIAN DIOR SE-UNSPON ADR,ADR,170715106,"1,181","5,865",SH,,SOLE,,"5,767",0,98
CHROMADEX CORP COM NEW,Common Stock,171077407,571,"57,940",SH,,SOLE,,"14,323",0,"43,617"
CHUBB LTD,Common Stock,H1467J104,"200,934","1,264,212",SH,,SOLE,,"1,022,396",0,"241,817"
CHUGAI PHARMACEUTIC-UNSP ADR,ADR,171269103,"22,119","1,110,961",SH,,SOLE,,"1,001,070",0,"109,891"
CHUNGHWA TELECOM CO LTD-ADR,ADR,17133Q502,"28,688","705,562",SH,,SOLE,,"667,707",0,"37,855"
CHURCH & DWIGHT CO INC,Common Stock,171340102,"102,180","1,199,019",SH,,SOLE,,"912,446",0,"286,574"
CHURCHILL DOWNS INC,Common Stock,171484108,"11,775","59,389",SH,,SOLE,,"38,911",0,"20,478"
CHUYS HLDGS INC COM,Common Stock,171604101,"1,074","28,826",SH,,SOLE,,"26,599",0,"2,227"
CIA CERVECERIAS UNIDAS - ADR,ADR,204429104,"6,084","302,098",SH,,SOLE,,"285,039",0,"17,059"
CIA DE SANEAMENTO BASICO DO ES,ADR,20441A102,"5,504","743,838",SH,,SOLE,,"695,088",0,"48,750"
CIA ENERGETICA DE MINAS GERAIS,ADR,204409601,"3,564","1,497,332",SH,,SOLE,,"1,446,291",0,"51,042"
CIA SIDERURGICA NACIONAL SA,ADR,20440W105,"1,922","218,948",SH,,SOLE,,"180,997",0,"37,951"
CIDARA THERAPEUTICS IN COM,Common Stock,171757107,69,"34,001",SH,,SOLE,,"33,443",0,558
Cie Financiere Richemont SA,Common Stock,H25662182,"1,887","15,134",SH,,SOLE,,"14,619",0,515
CIELO S A SPONSORED ADR,ADR,171778202,29,"40,131",SH,,SOLE,,"40,131",0,0
CIENA CORP,Common Stock,171779309,"19,684","345,997",SH,,SOLE,,"237,650",0,"108,347"
CIGNA CORP,Common Stock,125523100,"269,584","1,137,149",SH,,SOLE,,"977,193",0,"159,955"
CIMAREX ENERGY CO,Common Stock,171798101,"52,205","720,569",SH,,SOLE,,"522,214",0,"198,355"
CIMPRESS PLC,Common Stock,G2143T103,"2,307","21,277",SH,,SOLE,,"7,287",0,"13,990"
CINCINNATI BELL INC,Common Stock,171871502,"3,578","232,057",SH,,SOLE,,"216,308",0,"15,749"
CINCINNATI FINANCIAL CORP,Common Stock,172062101,"69,234","593,670",SH,,SOLE,,"540,666",0,"53,004"
CINEMARK HOLDINGS INC,Common Stock,17243V102,"19,858","904,685",SH,,SOLE,,"200,415",0,"704,270"
CINTAS CORP,Common Stock,172908105,"124,095","324,855",SH,,SOLE,,"254,412",0,"70,443"
CIRCOR INTERNATIONAL INC,Common Stock,17273K109,"2,366","72,581",SH,,SOLE,,"35,889",0,"36,692"
CIRRUS LOGIC INC,Common Stock,172755100,"9,035","106,148",SH,,SOLE,,"80,812",0,"25,336"
CISCO SYSTEMS INC,Common Stock,17275R102,"992,048","18,717,884",SH,,SOLE,,"13,700,957",0,"5,016,928"
CIT GROUP INC,Common Stock,125581801,"45,089","873,980",SH,,SOLE,,"538,774",0,"335,205"
CITI TRENDS INC,Common Stock,17306X102,754,"8,661",SH,,SOLE,,"5,232",0,"3,429"
CITIGROUP INC,Common Stock,172967424,"498,320","7,043,391",SH,,SOLE,,"4,494,737",0,"2,548,654"
Citius Pharmaceuticals Inc,Common Stock,17322U207,60,"17,385",SH,,SOLE,,"17,278",0,107
CITIZENS & NORTHERN CORP,Common Stock,172922106,444,"18,128",SH,,SOLE,,"10,700",0,"7,428"
CITIZENS FINL GRP INC COM,Common Stock,174610105,"154,353","3,365,000",SH,,SOLE,,"2,233,967",0,"1,131,033"
CITIZENS INC/TX,Common Stock,174740100,507,"95,773",SH,,SOLE,,"89,793",0,"5,980"
CITRIX SYSTEMS INC,Common Stock,177376100,"76,289","650,542",SH,,SOLE,,"388,398",0,"262,144"
CITY DEVS LTD SPONSORED ADR,ADR,177797305,"4,217","780,861",SH,,SOLE,,"685,912",0,"94,949"
CITY HOLDING CO,Common Stock,177835105,"3,186","42,351",SH,,SOLE,,"38,847",0,"3,503"
CITY OFFICE REIT INC,REIT,178587101,633,"50,897",SH,,SOLE,,"26,592",0,"24,305"
CIVISTA BANCSHARES INC,Common Stock,178867107,252,"11,402",SH,,SOLE,,"11,225",0,177
CK HUTCHINSON HOLDIN-UNSP ADR,ADR,12562Y100,"11,727","1,515,175",SH,,SOLE,,"1,424,071",0,"91,104"
CLARIVATE PLC,Common Stock,G21810109,"1,086","39,430",SH,,SOLE,,"36,767",0,"2,663"
CLARUS CORP,Common Stock,18270P109,"1,581","61,529",SH,,SOLE,,"5,607",0,"55,922"
CLEAN ENERGY FUELS CORP,Common Stock,184499101,"3,360","331,070",SH,,SOLE,,"322,787",0,"8,283"
CLEAN HARBORS INC,Common Stock,184496107,"13,176","141,461",SH,,SOLE,,"63,251",0,"78,210"
Cleanspark Inc,Common Stock,18452B209,227,"13,671",SH,,SOLE,,"13,330",0,341
CLEAR CHANNEL OUTDOOR HOLDINGS,Common Stock,18453H106,"1,465","554,887",SH,,SOLE,,"535,927",0,"18,960"
CLEARFIELD INC COM,Common Stock,18482P103,317,"8,467",SH,,SOLE,,"8,146",0,321
CLEARWATER PAPER CORP,Common Stock,18538R103,"1,224","42,256",SH,,SOLE,,"35,585",0,"6,671"
CLEARWAY ENERGY INC-A,Common Stock,18539C105,982,"38,925",SH,,SOLE,,"37,465",0,"1,460"
CLEARWAY ENERGY INC-C,Common Stock,18539C204,"3,852","145,471",SH,,SOLE,,"136,647",0,"8,824"
CLICKS GROUP LTD - SP ADR,ADR,18682W205,638,"18,496",SH,,SOLE,,"17,877",0,619
CLIFFS NATURAL RESOURCES INC,Common Stock,185899101,"14,854","688,951",SH,,SOLE,,"625,978",0,"62,973"
CLIPPER REALTY INC,REIT,18885T306,322,"43,764",SH,,SOLE,,"33,242",0,"10,522"
CLOROX CO/THE,Common Stock,189054109,"101,384","563,526",SH,,SOLE,,"495,090",0,"68,436"
CLOSE BROTHERS GRP-UNSP ADR,ADR,189062102,468,"11,174",SH,,SOLE,,206,0,"10,968"
CLOUDERA INC,Common Stock,18914U100,"6,816","429,739",SH,,SOLE,,"395,482",0,"34,257"
CLOUDFLARE INC - CLASS A,Common Stock,18915M107,"70,803","668,967",SH,,SOLE,,"115,886",0,"553,081"
CLOUGH GBL OPPS FUND SH BEN INT,Closed-End Fund,1.89E+110,"1,320","109,110",SH,,SOLE,,"64,169",0,"44,941"
CLOVIS ONCOLOGY INC COM,Common Stock,189464100,527,"90,836",SH,,SOLE,,"90,399",0,437
CLP HOLDINGS LTD SPONSORED ADR,ADR,18946Q101,"21,851","2,193,907",SH,,SOLE,,"2,044,791",0,"149,115"
CMC Materials Inc,Common Stock,12571T100,"8,163","54,152",SH,,SOLE,,"37,727",0,"16,425"
CME GROUP INC,Common Stock,12572Q105,"258,530","1,215,583",SH,,SOLE,,"904,450",0,"311,132"
CMMNTY BANKERS TR CORP COM,Common Stock,203612106,160,"14,109",SH,,SOLE,,"13,668",0,441
CMS ENERGY CORP,Common Stock,125896100,"85,599","1,448,864",SH,,SOLE,,"1,303,560",0,"145,304"
CNA FINANCIAL CORP,Common Stock,126117100,"7,676","168,746",SH,,SOLE,,"159,141",0,"9,605"
CNB FINL CORP PA COM,Common Stock,126128107,555,"24,332",SH,,SOLE,,"8,295",0,"16,037"
CNH INDUSTRIAL NV,Common Stock,N20944109,"2,758","164,976",SH,,SOLE,,"155,850",0,"9,126"
CNO FINANCIAL GROUP INC,Common Stock,1.26E+107,"25,403","1,075,502",SH,,SOLE,,"331,782",0,"743,720"
CNX RESOURCES CORP,Common Stock,12653C108,"6,095","446,213",SH,,SOLE,,"424,237",0,"21,976"
CO BRASILEIRA DE DISTR ADR,ADR,20440T300,247,"31,758",SH,,SOLE,,"30,059",0,"1,699"
COCA COLA HBC AG-UNSPR ADR,ADR,191223205,"18,921","523,686",SH,,SOLE,,"484,656",0,"39,031"
COCA-COLA CO/THE,Common Stock,191216100,"671,864","12,416,626",SH,,SOLE,,"9,966,500",0,"2,450,127"
COCA-COLA CONSOLIDATED INC,Common Stock,191098102,"10,377","25,805",SH,,SOLE,,"19,584",0,"6,221"
COCA-COLA EUROPACIFIC PARTNERS,Common Stock,G25839104,"36,688","618,471",SH,,SOLE,,"502,755",0,"115,715"
COCA-COLA FEMSA S A DE SPON ADR REP L,ADR,191241108,"5,954","112,497",SH,,SOLE,,"108,177",0,"4,320"
COCHLEAR LTD ADR,ADR,191459205,"12,374","131,351",SH,,SOLE,,"115,592",0,"15,759"
CODEXIS INC COM,Common Stock,192005106,758,"33,454",SH,,SOLE,,"32,358",0,"1,096"
Co-Diagnostics Inc,Common Stock,189763105,"4,041","489,799",SH,,SOLE,,"9,434",0,"480,365"
COEUR MINING INC,Common Stock,192108504,"5,005","563,580",SH,,SOLE,,"384,318",0,"179,262"
COGENT COMMUNICATIONS HOLDINGS,Common Stock,19239V302,"21,171","275,337",SH,,SOLE,,"198,184",0,"77,152"
COGNEX CORP,Common Stock,192422103,"33,996","404,478",SH,,SOLE,,"373,588",0,"30,890"
COGNIZANT TECHNOLOGY SOLUTIONS,Common Stock,192446102,"106,870","1,543,021",SH,,SOLE,,"1,253,183",0,"289,838"
COGNYTE SOFTWARE LTD,Common Stock,M25133105,"4,647","189,657",SH,,SOLE,,"36,721",0,"152,936"
COHEN & STEERS INC,Common Stock,19247A100,"6,599","80,381",SH,,SOLE,,"37,293",0,"43,088"
COHERENT INC,Common Stock,192479103,"8,296","31,382",SH,,SOLE,,"26,627",0,"4,755"
COHERUS BIOSCIENCES INC,Common Stock,19249H103,"2,028","146,603",SH,,SOLE,,"121,320",0,"25,283"
COHU INC,Common Stock,192576106,"3,787","102,946",SH,,SOLE,,"82,174",0,"20,772"
COINBASE GLOBAL INC -CLASS A,Common Stock,19260Q107,"11,404","45,023",SH,,SOLE,,"33,023",0,"12,000"
COLFAX CORP,Common Stock,194014106,"24,236","529,049",SH,,SOLE,,"188,706",0,"340,343"
COLGATE-PALMOLIVE CO,Common Stock,194162103,"255,331","3,138,676",SH,,SOLE,,"2,299,348",0,"839,329"
COLLEGIUM PHARMACEUTIC COM,Common Stock,19459J104,"3,217","136,078",SH,,SOLE,,"43,339",0,"92,739"
COLLIERS INTERNATIONAL GROUP INC,Common Stock,194693107,540,"4,825",SH,,SOLE,,"4,494",0,331
COLONY CAPITAL INC,REIT,25401T108,"13,046","1,651,403",SH,,SOLE,,"1,423,010",0,"228,393"
COLOPLAST A/S ADR,ADR,19624Y200,"38,226","2,331,909",SH,,SOLE,,"2,109,455",0,"222,454"
COLRUYT SA - UNSPONSORED ADR,ADR,196850101,297,"21,469",SH,,SOLE,,"13,611",0,"7,858"
COLUMBIA BANKING SYSTEM INC,Common Stock,197236102,"15,190","393,931",SH,,SOLE,,"141,354",0,"252,578"
COLUMBIA FINANCIAL INC,Common Stock,197641103,"1,932","112,173",SH,,SOLE,,"51,694",0,"60,479"
COLUMBIA PPTY TR INC COM NEW,REIT,198287203,"6,657","382,788",SH,,SOLE,,"259,458",0,"123,329"
COLUMBIA SPORTSWEAR CO,Common Stock,198516106,"15,202","154,550",SH,,SOLE,,"138,676",0,"15,873"
COLUMBUS MCKINNON CORP/NY,Common Stock,199333105,"1,974","40,919",SH,,SOLE,,"38,202",0,"2,717"
COMCAST CORP,Common Stock,20030N101,"948,325","16,631,452",SH,,SOLE,,"14,099,616",0,"2,531,837"
COMERICA INC,Common Stock,200340107,"135,263","1,896,028",SH,,SOLE,,"1,274,621",0,"621,407"
COMFORT SYSTEMS USA INC,Common Stock,199908104,"6,011","76,289",SH,,SOLE,,"70,321",0,"5,968"
COMM SERV SELECT SECTOR SPDR,ETF,81369Y852,"2,998","37,028",SH,,SOLE,,"30,925",0,"6,103"
COMMERCE BANCSHARES INC/MO,Common Stock,200525103,"15,665","210,102",SH,,SOLE,,"173,566",0,"36,536"
COMMERCIAL INTL BK EGY SPONSORED ADR,ADR,201712304,"3,635","1,128,859",SH,,SOLE,,"1,044,383",0,"84,476"
COMMERCIAL METALS CO,Common Stock,201723103,"24,797","807,205",SH,,SOLE,,"252,611",0,"554,594"
COMMERCIAL VEHICLE GROUP INC,Common Stock,202608105,212,"19,955",SH,,SOLE,,"19,955",0,0
COMMERZBANK A G SPONSORED ADR,ADR,202597605,"16,698","2,348,476",SH,,SOLE,,"2,113,182",0,"235,294"
COMMONWEALTH BANK AUS-SP ADR,ADR,202712600,"107,746","1,436,038",SH,,SOLE,,"1,268,015",0,"168,023"
COMMSCOPE HOLDING CO INC,Common Stock,20337X109,"9,927","465,844",SH,,SOLE,,"236,603",0,"229,241"
COMMUNITY BANK SYSTEM INC,Common Stock,203607106,"9,142","120,849",SH,,SOLE,,"112,124",0,"8,724"
COMMUNITY HEALTH SYSTEMS INC,Common Stock,203668108,"3,731","241,635",SH,,SOLE,,"222,587",0,"19,048"
COMMUNITY HEALTHCARE T COM,REIT,20369C106,"4,991","105,172",SH,,SOLE,,"97,813",0,"7,359"
COMMUNITY TRUST BANCORP INC,Common Stock,204149108,"2,594","64,228",SH,,SOLE,,"13,993",0,"50,235"
COMMVAULT SYSTEMS INC,Common Stock,204166102,"12,774","163,419",SH,,SOLE,,"83,791",0,"79,628"
COMPAGNIE DE SAINT-UNSP ADR,ADR,204280309,"34,720","2,642,330",SH,,SOLE,,"2,296,480",0,"345,850"
COMPAGNIE FIN RICHEMONTAG S,ADR,204319107,"66,515","5,506,226",SH,,SOLE,,"4,184,761",0,"1,321,466"
COMPANHIA PARA ENER SPON ADR PFD,ADR,20441B605,"1,198","207,583",SH,,SOLE,,"195,665",0,"11,918"
COMPANIA DE MINAS BUENAVENTU SPONSORED ADR,ADR,204448104,"9,731","1,075,275",SH,,SOLE,,"1,062,673",0,"12,602"
COMPASS GROUP PLC ADR,ADR,20449X401,"60,101","2,804,338",SH,,SOLE,,"2,391,404",0,"412,934"
COMPASS MINERALS INTERNATIONAL,Common Stock,20451N101,"3,413","57,599",SH,,SOLE,,"47,049",0,"10,550"
COMPUGEN LTD,Common Stock,M25722105,153,"18,518",SH,,SOLE,,"18,518",0,0
COMPUTER PROGRAMS & SYSTEMS IN,Common Stock,205306103,"2,058","61,928",SH,,SOLE,,"33,740",0,"28,188"
COMPUTERSHARE LTD SPONSORED ADR,ADR,20557R105,"1,775","137,522",SH,,SOLE,,"125,102",0,"12,420"
COMSCORE INC,Common Stock,20564W105,272,"54,386",SH,,SOLE,,"54,233",0,153
COMSTOCK RESOURCES INC,Common Stock,205768302,136,"20,335",SH,,SOLE,,"20,079",0,256
COMTECH TELECOMMUNICATIONS COR,Common Stock,205826209,"1,475","61,057",SH,,SOLE,,"57,705",0,"3,352"
CONAGRA BRANDS INC,Common Stock,205887102,"113,042","3,107,259",SH,,SOLE,,"1,972,197",0,"1,135,063"
CONCENTRIX CORP,Common Stock,20602D101,"11,781","73,265",SH,,SOLE,,"62,919",0,"10,346"
CONDUENT INC,Common Stock,206787103,"7,343","979,097",SH,,SOLE,,"824,116",0,"154,981"
CONMED CORP,Common Stock,207410101,"12,212","88,862",SH,,SOLE,,"83,922",0,"4,940"
CONNECTONE BANCORP INC COM,Common Stock,20786W107,550,"21,013",SH,,SOLE,,"18,949",0,"2,064"
CONN'S INC,Common Stock,208242107,"2,485","97,435",SH,,SOLE,,"91,138",0,"6,297"
CONOCOPHILLIPS,Common Stock,20825C104,"307,044","5,041,772",SH,,SOLE,,"3,193,083",0,"1,848,689"
CONSOL ENERGY INC,Common Stock,20854L108,"2,222","120,297",SH,,SOLE,,"108,353",0,"11,944"
CONSOLIDATED COMMUNICATIONS HO,Common Stock,209034107,"1,820","207,053",SH,,SOLE,,"194,835",0,"12,218"
CONSOLIDATED EDISON INC,Common Stock,209115104,"80,526","1,122,778",SH,,SOLE,,"1,009,553",0,"113,225"
CONSOLIDATED WATER CO LTD,Common Stock,G23773107,365,"31,106",SH,,SOLE,,"25,384",0,"5,722"
CONSTELLATION BRANDS INC,Common Stock,21036P108,"132,431","566,211",SH,,SOLE,,"470,621",0,"95,590"
CONSTELLATION PHARMACEUTICAL,Common Stock,210373106,731,"21,639",SH,,SOLE,,"20,519",0,"1,120"
CONSTELLATION SOFTWARE INC,Common Stock,21037X100,320,211,SH,,SOLE,,207,0,4
CONSTELLIUM SE,Common Stock,F21107101,"2,679","141,363",SH,,SOLE,,"139,492",0,"1,871"
CONSTRUCTION PARTNERS INC-A,Common Stock,21044C107,"1,678","53,446",SH,,SOLE,,"40,098",0,"13,348"
CONTANGO OIL & GAS CO,Common Stock,21075N204,474,"109,687",SH,,SOLE,,"106,911",0,"2,776"
CONTINENTAL AG SPONSORED ADR,ADR,210771200,"20,463","1,386,357",SH,,SOLE,,"1,260,262",0,"126,095"
CONTINENTAL RESOURCES INC/OK,Common Stock,212015101,"32,144","845,235",SH,,SOLE,,"828,241",0,"16,994"
CONTROLADORA VUELA CIA DE AV,ADR,2.12E+109,682,"35,498",SH,,SOLE,,"33,714",0,"1,784"
COOPER COS INC/THE,Common Stock,216648402,"51,889","130,944",SH,,SOLE,,"116,163",0,"14,781"
COOPER-STANDAR HOLDING,Common Stock,21676P103,"5,890","203,114",SH,,SOLE,,"49,053",0,"154,061"
COPA HOLDINGS SA-CLASS A,Common Stock,P31076105,"8,553","113,537",SH,,SOLE,,"93,068",0,"20,469"
COPART INC,Common Stock,217204106,"91,899","697,100",SH,,SOLE,,"625,416",0,"71,684"
CORBUS PHARMACEUTICALS HOLDI,Common Stock,21833P103,113,"61,837",SH,,SOLE,,"60,451",0,"1,386"
CORCEPT THERAPEUTICS INC COM,Common Stock,218352102,"4,859","220,846",SH,,SOLE,,"203,816",0,"17,030"
CORE LABORATORIES N.V.,Common Stock,N22717107,"3,854","98,950",SH,,SOLE,,"77,252",0,"21,698"
CORECIVIC INC,Common Stock,21871N101,"3,514","335,665",SH,,SOLE,,"286,056",0,"49,609"
CORE-MARK HOLDING CO INC,Common Stock,218681104,"11,029","245,033",SH,,SOLE,,"172,912",0,"72,121"
CORENERGY INFRASTRUCTURE TRUST,REIT,21870U502,458,"69,160",SH,,SOLE,,"68,162",0,998
COREPOINT LODGING INC,REIT,21872L104,"2,354","219,990",SH,,SOLE,,"216,115",0,"3,875"
CORESITE REALTY CORP REIT,REIT,21870Q105,"10,652","79,136",SH,,SOLE,,"60,171",0,"18,966"
CORMEDIX INC COM,Common Stock,21900C308,95,"13,776",SH,,SOLE,,"13,410",0,366
CORNERSTONE BUILDING BRANDS,Common Stock,21925D109,"1,390","76,457",SH,,SOLE,,"61,236",0,"15,221"
CORNERSTONE ONDEMAND I COM,Common Stock,21925Y103,"7,274","141,027",SH,,SOLE,,"59,240",0,"81,787"
CORNING INC,Common Stock,219350105,"164,755","4,028,244",SH,,SOLE,,"2,868,074",0,"1,160,170"
CORP AMERICA AIRPORTS SA,Common Stock,L1995B107,865,"151,231",SH,,SOLE,,"151,231",0,0
CORPORATE OFFICE PPTYS TR SH BEN INT REIT,REIT,22002T108,"7,453","266,278",SH,,SOLE,,"162,484",0,"103,794"
Corsair Gaming Inc,Common Stock,22041X102,247,"7,406",SH,,SOLE,,"7,375",0,31
CORTEVA INC,Common Stock,22052L104,"125,110","2,820,973",SH,,SOLE,,"2,085,584",0,"735,389"
CORTEXYME INC,Common Stock,22053A107,384,"7,236",SH,,SOLE,,"7,164",0,72
CORVEL CORP,Common Stock,221006109,"4,898","36,474",SH,,SOLE,,"29,601",0,"6,873"
COSAN LTD ADR,ADR,22113B103,"1,155","60,732",SH,,SOLE,,"60,620",0,112
COSTAMARE INC SHS,Common Stock,Y1771G102,"5,349","452,888",SH,,SOLE,,"406,673",0,"46,215"
COSTAR GROUP INC,Common Stock,22160N109,"61,432","741,751",SH,,SOLE,,"521,738",0,"220,013"
COSTCO WHOLESALE CORP,Common Stock,22160K105,"664,763","1,680,095",SH,,SOLE,,"1,416,935",0,"263,160"
COTY INC,Common Stock,222070203,"6,688","716,021",SH,,SOLE,,"671,935",0,"44,086"
COUPA SOFTWARE INC,Common Stock,22266L106,"20,587","78,545",SH,,SOLE,,"65,416",0,"13,129"
COUPANG INC,Common Stock,22266T109,"9,896","236,641",SH,,SOLE,,"236,641",0,0
COUSINS PROPERTIES INC REIT,REIT,222795502,"8,797","239,171",SH,,SOLE,,"185,954",0,"53,218"
COVANTA HOLDING CORP,Common Stock,2.23E+106,"3,733","211,972",SH,,SOLE,,"164,057",0,"47,915"
COVESTRO AG - SPONSORED ADR,ADR,22304D207,"20,636","635,343",SH,,SOLE,,"552,182",0,"83,161"
COVETRUS INC,Common Stock,22304C100,"21,848","809,178",SH,,SOLE,,"396,625",0,"412,553"
COWEN GROUP INC,Common Stock,223622606,"3,921","95,529",SH,,SOLE,,"35,245",0,"60,284"
CRA INTERNATIONAL INC,Common Stock,12618T105,"1,430","16,711",SH,,SOLE,,"1,081",0,"15,630"
CRACKER BARREL OLD COUNTRY STO,Common Stock,22410J106,"6,230","41,963",SH,,SOLE,,"33,503",0,"8,460"
CRANE CO,Common Stock,224399105,"23,561","255,070",SH,,SOLE,,"230,478",0,"24,593"
CRAWFORD & COMPANY -CL A,Common Stock,224633206,284,"31,366",SH,,SOLE,,"30,978",0,388
CREDICORP LTD COM,Common Stock,G2519Y108,"15,066","124,402",SH,,SOLE,,"114,258",0,"10,144"
CREDIT ACCEPTANCE CORP,Common Stock,225310101,"3,829","8,431",SH,,SOLE,,"7,789",0,642
CREDIT AGRICOLE SA - UNSP ADR,ADR,225313105,"31,456","4,537,423",SH,,SOLE,,"4,086,907",0,"450,516"
CREDIT SUISSE GROUP SPONSORED ADR,ADR,225401108,"35,085","3,344,648",SH,,SOLE,,"2,494,837",0,"849,811"
CREE INC,Common Stock,225447101,"14,620","149,286",SH,,SOLE,,"134,251",0,"15,035"
CRESCENT POINT ENERGY CORP,Common Stock,22576C101,243,"53,674",SH,,SOLE,,"53,674",0,0
CRESUD SA SPON ADR,ADR,226406106,182,"30,427",SH,,SOLE,,"29,200",0,"1,227"
CRH PLC ADR,ADR,12626K203,"52,282","1,028,367",SH,,SOLE,,"829,623",0,"198,744"
CRICUT INC A EQUITY,Common Stock,22658D100,"1,869","43,880",SH,,SOLE,,0,0,"43,880"
CRISPR THERAPEUTICS AG,Common Stock,H17182108,"2,371","14,647",SH,,SOLE,,"14,204",0,443
CRITEO SA-SPON ADR,ADR,226718104,"5,971","132,016",SH,,SOLE,,"119,858",0,"12,158"
CROCS INC,Common Stock,227046109,"19,144","164,300",SH,,SOLE,,"103,671",0,"60,629"
CRODA INTERNATIONAL-UNS ADR,ADR,227047305,560,"10,934",SH,,SOLE,,"9,976",0,958
CRONOS GROUP INC,Common Stock,22717L101,173,"20,141",SH,,SOLE,,"20,141",0,0
CROSS COUNTRY HEALTHCARE INC,Common Stock,227483104,"2,605","157,775",SH,,SOLE,,"48,844",0,"108,931"
CROWDSTRIKE HOLDINGS INC - A,Common Stock,22788C105,"79,816","317,599",SH,,SOLE,,"219,187",0,"98,412"
CROWN CASTLE INTERNATIONAL COR,REIT,22822V101,"305,872","1,567,772",SH,,SOLE,,"1,291,443",0,"276,329"
CROWN HOLDINGS INC,Common Stock,228368106,"37,786","369,690",SH,,SOLE,,"206,023",0,"163,666"
CRYOLIFE INC,Common Stock,228903100,"2,923","102,926",SH,,SOLE,,"50,807",0,"52,119"
CRYOPORT INC,Common Stock,229050307,"2,748","43,554",SH,,SOLE,,"27,439",0,"16,115"
CSG SYSTEMS INTERNATIONAL INC,Common Stock,126349109,"5,274","111,792",SH,,SOLE,,"69,771",0,"42,021"
CSL LTD SPONSORED ADR,ADR,12637N204,"144,103","1,354,989",SH,,SOLE,,"1,222,007",0,"132,982"
CSW INDUSTRIALS INC,Common Stock,126402106,"1,753","14,796",SH,,SOLE,,"9,178",0,"5,618"
CSX CORP,Common Stock,126408103,"254,794","7,942,447",SH,,SOLE,,"6,783,210",0,"1,159,237"
CTO REALTY GROWTH INC,REIT,22948Q101,278,"5,190",SH,,SOLE,,"4,142",0,"1,048"
CTS CORP,Common Stock,126501105,"5,603","150,770",SH,,SOLE,,"85,973",0,"64,797"
CUBESMART REIT,REIT,229663109,"13,737","296,568",SH,,SOLE,,"260,672",0,"35,896"
CUE BIOPHARMA INC,Common Stock,22978P106,316,"27,136",SH,,SOLE,,"24,663",0,"2,473"
CULLEN/FROST BANKERS INC,Common Stock,229899109,"28,339","253,024",SH,,SOLE,,"219,532",0,"33,492"
CULP INC COM,Common Stock,230215105,210,"12,866",SH,,SOLE,,"12,692",0,175
CUMBERLAND PHARMACEUTICALS,Common Stock,230770109,38,"13,296",SH,,SOLE,,0,0,"13,296"
CUMMINS INC,Common Stock,231021106,"212,153","870,157",SH,,SOLE,,"633,669",0,"236,488"
CUREVAC NV,Common Stock,N2451R105,709,"9,652",SH,,SOLE,,"9,311",0,341
CuriosityStream Inc,Common Stock,23130Q107,218,"15,998",SH,,SOLE,,"15,998",0,0
CURIS INC COM,Common Stock,231269200,336,"41,674",SH,,SOLE,,"41,674",0,0
CURTISS-WRIGHT CORP,Common Stock,231561101,"11,518","96,984",SH,,SOLE,,"72,650",0,"24,334"
CUSHING NEXTGEN INFRA INC,Closed-End Fund,231647207,"1,465","30,288",SH,,SOLE,,"7,293",0,"22,995"
CUSHMAN & WAKEFIELD PLC,Common Stock,G2717B108,589,"33,730",SH,,SOLE,,"27,214",0,"6,516"
CUSTOMERS BANCORP INC,Common Stock,23204G100,"6,872","176,250",SH,,SOLE,,"83,907",0,"92,343"
CUTERA INC,Common Stock,232109108,"1,563","31,878",SH,,SOLE,,"29,051",0,"2,827"
CVB FINANCIAL CORP,Common Stock,126600105,"5,616","272,730",SH,,SOLE,,"234,728",0,"38,002"
CVR ENERGY INC,Common Stock,12662P108,"8,051","448,276",SH,,SOLE,,"445,074",0,"3,202"
CVS HEALTH CORPORATION,Common Stock,126650100,"450,761","5,402,215",SH,,SOLE,,"3,912,657",0,"1,489,558"
CYBERARK SOFTWARE LTD/ISRAEL,Common Stock,M2682V108,"8,549","65,626",SH,,SOLE,,"62,289",0,"3,337"
CYCLERION THERPEUTICS INC,Common Stock,23255M105,49,"12,596",SH,,SOLE,,"12,318",0,278
CYMABAY THERAPEUTICS INC,Common Stock,23257D103,937,"214,940",SH,,SOLE,,"185,118",0,"29,822"
CYRUSONE INC COM,REIT,23283R100,"13,823","193,278",SH,,SOLE,,"174,132",0,"19,146"
CYTOKINETICS INC COM,Common Stock,23282W605,"3,411","172,383",SH,,SOLE,,"156,059",0,"16,324"
CYTOMX THERAPEUTICS IN COM,Common Stock,23284F105,248,"39,199",SH,,SOLE,,"26,605",0,"12,594"
CYTOSORBENTS CORP,Common Stock,23283X206,110,"14,521",SH,,SOLE,,"13,896",0,625
D&L INDUSTRIES INC-UNSP ADR,ADR,23340X108,578,"137,747",SH,,SOLE,,"137,390",0,357
DADA NEXUS LTD-ADR,ADR,23344D108,567,"19,535",SH,,SOLE,,"17,748",0,"1,787"
DAI NIPPON PRINTING CO LTD,ADR,233806306,"16,497","1,558,884",SH,,SOLE,,"1,375,360",0,"183,524"
Daifuku Co Ltd - UNSP ADR,ADR,233802107,600,"26,405",SH,,SOLE,,"23,053",0,"3,352"
